"drug_name","gene_names","drug_name_lower","alias_asgard"
"Amoxapine","SLC6A4;SLC6A2;DRD2;DRD1;ADRA2A;ADRA1A;CHRM1;GABRA1;HTR2A;HTR2C;HTR6;HTR7;DRD3;DRD4;HRH1;ADRA1B;ADRA1D;CHRM2;CHRM3;CHRM4;CHRM5;HTR2B;HTR3A;HTR1A;HTR1B;ADRA2B;ADRA2C;HRH4;GABRA2;GABRA3;GABRA4;GABRA5;GABRA6;GABRB1;GABRB2;GABRB3;GABRD;GABRE;GABRG1;GABRG2;GABRG3;GABRP;GABRQ;SLC6A3;CYP2D6;ORM1","amoxapine","amoxapine"
"Carbamazepine","SCN1A;SCN10A;SCN11A;SCN2A;SCN3A;SCN4A;SCN5A;SCN7A;SCN8A;SCN9A;CHRNA4;NR1I2;CYP3A4;CYP2C8;CYP1A2;CYP2C9;CYP2C19;CYP2B6;CYP3A5;UGT2B7;UGT1A1;UGT1A6;UGT1A7;ABCB1;RALBP1;ABCC2","carbamazepine","carbamazepine"
"Vinblastine","TUBA1A;TUBB;TUBD1;TUBG1;TUBE1;JUN;CYP2D6;CYP3A4;ABCB1;ABCC1;ABCC2;ABCC6;ABCB11;SLCO1B1","vinblastine","vinblastine"
"Clonidine","ADRA2B;ADRA2C;ADRA2A;ADRA1A;ADRA1B;ADRA1D;CYP1A2;CYP3A4;CYP1A1;CYP3A5;CYP2D6;ALB;SLC22A3;SLC22A5;SLC22A4","clonidine","clonidine"
"Voriconazole","FMO1;FMO3;CYP3A5;CYP3A7;CYP2C19;CYP3A4;CYP2C9;CYP2B6;PTGS1","voriconazole","voriconazole"
"Diclofenac","PTGS2;PTGS1;CYP2C9;CYP2C19;CYP1A2;CYP2C8;UGT2B7;CYP3A4;CYP2B6;CYP2C18;CYP2E1;UGT1A3;UGT1A9;UGT2B4;ALOX5;PLA2G2A;TTR;ALB;SLC22A6;ABCC4;ABCC1;SLC22A8;SLC22A11;SLCO1C1;SLCO1B1;ABCB11;SCN4A;ASIC1;KCNQ2;KCNQ3;ABCB1","diclofenac","diclofenac"
"Amiloride","SCNN1A;SCNN1B;SCNN1G;SCNN1D;AOC1;ASIC2;ASIC1;SLC9A1;PLAU;SLC22A2;SLC22A4","amiloride","amiloride"
"Sulindac","PTGS2;PTGS1;AKR1B1;MAPK3;PPARD;PTGDR2;AKR1B10;CYP1A1;ALB;SLC22A6","sulindac","sulindac"
"Chloroquine","GSTA2;TNF;TLR9;HMGB1;GSTM1;ACE2;CYP2C8;CYP3A4;CYP3A5;CYP2D6;CYP1A1;ALB;ORM1;ORM2;ABCB1","chloroquine","chloroquine"
"Bisoprolol","ADRB1;ADRB2;CYP3A4;ABCB1","bisoprolol","bisoprolol"
"Amodiaquine","HNMT;CYP2C8;CYP1A1;CYP1B1;CYP2D6;CYP2C9;ABCB1","amodiaquine","amodiaquine"
"Imatinib","BCR;KIT;RET;NTRK1;CSF1R;PDGFRA;DDR1;ABL1;PDGFRB;DDR2;CYP3A4;CYP3A5;CYP3A7;CYP1A2;CYP2C9;CYP2D6;CYP2C19;CYP2C8;ALB;ORM1;SLC22A1;ABCB1;SLC22A2;ABCG2;ABCA3;ABCB11;ABCC2;ABCC1;SLC22A5;SLCO1B3;ABCC4;SLCO1A2","imatinib","imatinib"
